Year,log_RGDP,FOR1,RES1,STD1,LCI1,UCI1,log_RPCE,FOR2,RES2,STD2,LCI2,UCI2,log_GPDI,FOR3,RES3,STD3,LCI3,UCI3,log_RFGCE,FOR4,RES4,STD4,LCI4,UCI4
01JAN1967,12.63597607,,,,,,12.406352797,,,,,,11.154728207,,,,,,12.155275293,,,,,
01APR1967,12.636357488,,,,,,12.412242085,,,,,,11.138302698,,,,,,12.153570981,,,,,
01JUL1967,12.640093678,,,,,,12.414455226,,,,,,11.154728207,,,,,,12.158422807,,,,,
01OCT1967,12.643571104,,,,,,12.417089545,,,,,,11.169380495,,,,,,12.161787119,,,,,
01JAN1968,12.652304372,,,,,,12.427291315,,,,,,11.182699903,,,,,,12.169439299,,,,,
01APR1968,12.659573951,12.658115039,0.0014589129,0.0030100241,12.6522155,12.664014577,12.4338658,12.431968787,0.0018970128,0.002573468,12.426924883,12.437012692,11.201123897,11.210186872,-0.009062975,0.0138928944,11.182957299,11.237416444,12.171726454,12.170705743,0.0010207109,0.0034819476,12.163881251,12.177530235
01JUL1968,12.662691738,12.664772298,-0.002080559,0.0030100241,12.658872759,12.670671837,12.441946373,12.438735325,0.0032110472,0.002573468,12.433691421,12.44377923,11.192288613,11.215687724,-0.023399111,0.0138928944,11.188458151,11.242917297,12.173098818,12.174926789,-0.001827971,0.0034819476,12.168102297,12.181751281
01OCT1968,12.664623175,12.669003086,-0.004379911,0.0030100241,12.663103547,12.674902625,12.443904174,12.448739319,-0.004835145,0.002573468,12.443695414,12.453783224,11.206286044,11.204251803,0.0020342416,0.0138928944,11.17702223,11.231481375,12.173477643,12.175973498,-0.002495854,0.0034819476,12.169149006,12.182797989
01JAN1969,12.671320978,12.669817968,0.0015030098,0.0030100241,12.663918429,12.675717507,12.448737229,12.448607757,0.0001294727,0.002573468,12.443563852,12.453651661,11.236537261,11.213746594,0.022790667,0.0138928944,11.186517022,11.240976167,12.174554035,12.178572973,-0.004018938,0.0034819476,12.171748481,12.185397465
01APR1969,12.672716518,12.675480924,-0.002764407,0.0030100241,12.669581386,12.681380463,12.451510118,12.452940231,-0.001430113,0.002573468,12.447896326,12.457984135,11.237292338,11.248864554,-0.011572217,0.0138928944,11.221634981,11.276094127,12.173186268,12.17693141,-0.003745141,0.0034819476,12.170106918,12.183755902
01JUL1969,12.675420864,12.676176167,-0.000755303,0.0030100241,12.670276628,12.682075705,12.453608792,12.454836594,-0.001227802,0.002573468,12.44979269,12.459880499,11.249442961,11.250371798,-0.000928837,0.0138928944,11.223142226,11.277601371,12.174205227,12.17308273,0.0011224964,0.0034819476,12.166258239,12.179907222
01OCT1969,12.673527749,12.677041147,-0.003513398,0.0030100241,12.671141608,12.682940686,12.457063988,12.457524729,-0.000460741,0.002573468,12.452480824,12.462568633,11.234517284,11.248208303,-0.01369102,0.0138928944,11.220978731,11.275437876,12.168468019,12.17504827,-0.006580251,0.0034819476,12.168223778,12.181872762
01JAN1970,12.672753425,12.677046074,-0.004292649,0.0030100241,12.671146535,12.682945612,12.459739182,12.459634404,0.0001047782,0.002573468,12.454590499,12.464678308,11.225567713,11.245882183,-0.02031447,0.0138928944,11.218652611,11.273111756,12.166400509,12.169481354,-0.003080846,0.0034819476,12.162656863,12.176305846
01APR1970,12.673518539,12.676708324,-0.003189784,0.0030100241,12.670808785,12.682607862,12.461738568,12.463579151,-0.001840583,0.002573468,12.458535246,12.468623055,11.234264124,11.234393315,-0.000129191,0.0138928944,11.207163742,11.261622888,12.161427901,12.167461654,-0.006033754,0.0034819476,12.160637162,12.174286146
01JUL1970,12.67735141,12.677483605,-0.000132195,0.0030100241,12.671584066,12.683383144,12.465546425,12.465346756,0.0001996687,0.002573468,12.460302851,12.470390661,11.240299582,11.24509226,-0.004792678,0.0138928944,11.217862687,11.272321833,12.163310489,12.162114514,0.0011959746,0.0034819476,12.155290022,12.168939006
01OCT1970,12.672864127,12.681069339,-0.008205212,0.0030100241,12.6751698,12.686968878,12.464355393,12.469150891,-0.004795497,0.002573468,12.464106986,12.474194795,11.222196046,11.25480264,-0.032606594,0.0138928944,11.227573068,11.282032213,12.163519163,12.161242598,0.0022765645,0.0034819476,12.154418106,12.16806709
01JAN1971,12.684333598,12.674992201,0.0093413967,0.0030100241,12.669092662,12.68089174,12.47259557,12.46717588,0.0054196895,0.002573468,12.462131976,12.472219785,11.277609214,11.222663983,0.0549452315,0.0138928944,11.19543441,11.249893556,12.157184682,12.162655806,-0.005471124,0.0034819476,12.155831314,12.169480298
01APR1971,12.686806022,12.688638824,-0.001832802,0.0030100241,12.682739285,12.694538363,12.476556305,12.476239361,0.000316944,0.002573468,12.471195456,12.481283265,11.295127085,11.30522983,-0.010102745,0.0138928944,11.278000257,11.332459403,12.156185573,12.157158848,-0.000973275,0.0034819476,12.150334356,12.16398334
01JUL1971,12.69019608,12.691738035,-0.001541955,0.0030100241,12.685838497,12.697637574,12.480006943,12.480086889,-0.000079947,0.002573468,12.475042985,12.485130794,11.305566314,11.317466318,-0.011900005,0.0138928944,11.290236745,11.344695891,12.156064312,12.156523926,-0.000459613,0.0034819476,12.149699434,12.163348418
01OCT1971,12.691461665,12.693337815,-0.001876149,0.0030100241,12.687438276,12.699237353,12.487166667,12.485326761,0.001839906,0.002573468,12.480282857,12.490370666,11.297541668,11.309337535,-0.011795867,0.0138928944,11.282107963,11.336567108,12.153082804,12.153674969,-0.000592164,0.0034819476,12.146850477,12.160499461
01JAN1972,12.699178416,12.697025806,0.0021526097,0.0030100241,12.691126267,12.702925345,12.49287209,12.491329654,0.0015424361,0.002573468,12.48628575,12.496373559,11.328379603,11.320579801,0.0077998021,0.0138928944,11.293350229,11.347809374,12.155123394,12.154023179,0.0011002151,0.0034819476,12.147198687,12.160847671
01APR1972,12.709125738,12.704387516,0.0047382216,0.0030100241,12.698487977,12.710287055,12.501086662,12.497899091,0.0031875709,0.002573468,12.492855186,12.502942995,11.35564305,11.344903418,0.0107396327,0.0138928944,11.317673845,11.37213299,12.157758886,12.156754947,0.0010039389,0.0034819476,12.149930455,12.163579439
01JUL1972,12.713103958,12.715232157,-0.002128199,0.0030100241,12.709332618,12.721131696,12.507734468,12.506487605,0.0012468629,0.002573468,12.501443701,12.51153151,11.367542274,11.37871102,-0.011168747,0.0138928944,11.351481448,11.405940593,12.149003452,12.157520996,-0.008517544,0.0034819476,12.150696504,12.164345487
01OCT1972,12.720258559,12.719768133,0.0004904265,0.0030100241,12.713868594,12.725667672,12.517802694,12.513176037,0.0046266576,0.002573468,12.508132132,12.518219941,11.379668034,11.39673812,-0.017070086,0.0138928944,11.369508548,11.423967693,12.152318927,12.147384015,0.0049349126,0.0034819476,12.140559523,12.154208507
01JAN1973,12.730822636,12.728023756,0.0027988793,0.0030100241,12.722124218,12.733923295,12.525666634,12.524222327,0.0014443077,0.002573468,12.519178422,12.529266231,11.40534636,11.40353357,0.0018127902,0.0138928944,11.376303997,11.430763143,12.15582169,12.155028264,0.0007934257,0.0034819476,12.148203772,12.161852756
01APR1973,12.735718634,12.738738009,-0.003019376,0.0030100241,12.73283847,12.744637548,12.52548536,12.53061829,-0.00513293,0.002573468,12.525574385,12.535662194,11.428458774,11.432153909,-0.003695136,0.0138928944,11.404924337,11.459383482,12.153662454,12.157315195,-0.003652741,0.0034819476,12.150490703,12.164139687
01JUL1973,12.733349763,12.737904087,-0.004554324,0.0030100241,12.732004549,12.743803626,12.527023786,12.529592364,-0.002568579,0.002573468,12.52454846,12.534636269,11.422097163,11.429477242,-0.007380079,0.0138928944,11.40224767,11.456706815,12.148108858,12.151169941,-0.003061084,0.0034819476,12.144345449,12.157994433
